CRIMETYPE,DATETIME,CASENUMBER,DESCRIPTION,POLICEBEAT,ADDRESS,CITY,STATE,Location
WEAPONS,04/02/2020 07:42:00 AM,20-017349,CARRY CONCEALED WEAPON IN VEHICLE,19X,1500 E 12TH ST,Oakland,CA,"1500 E 12TH ST
Oakland, CA
(37.787943, -122.245701)"
DOMESTIC VIOLENCE,04/24/2020 08:40:00 PM,20-020861,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,30Y,2500 73RD AV,Oakland,CA,"2500 73RD AV
Oakland, CA
(37.765872, -122.176889)"
VANDALISM,02/04/2020 07:40:00 PM,20-905431,VANDALISM,77X,HOWE ST,Oakland,CA,"HOWE ST
Oakland, CA"
VANDALISM,03/08/2020 03:10:00 AM,20-906717,VANDALISM,04X,400 17TH ST,Oakland,CA,"400 17TH ST
Oakland, CA
(37.806175, -122.268505)"
,05/28/2020 05:30:00 AM,20-910945,VANDALISM,09X,200 41ST ST,Oakland,CA,"200 41ST ST
Oakland, CA
(37.827541, -122.25388)"
KIDNAPPING,05/14/2020 04:00:00 PM,20-024121,KIDNAPPING,24X,3500 LYON AV,Oakland,CA,"3500 LYON AV
Oakland, CA
(37.787043, -122.211972)"
ARSON,02/18/2020 09:49:00 PM,20-009640,MAL SET/ETC FIRE PROP/ETC,19X,E 12TH ST & 16TH AV,Oakland,CA,"E 12TH ST & 16TH AV
Oakland, CA
(37.787503, -122.24496)"
GRAND THEFT,02/17/2020 07:28:00 PM,20-009620,GRAND THEFT,08X,2600 BROADWAY,Oakland,CA,"2600 BROADWAY
Oakland, CA
(37.814845, -122.264528)"
STOLEN VEHICLE,02/21/2020 03:00:00 PM,20-011071,VEHICLE THEFT - AUTO,35X,2200 86TH AV,Oakland,CA,"2200 86TH AV
Oakland, CA
(37.757289, -122.167319)"
DOMESTIC VIOLENCE,03/06/2020 12:46:00 PM,20-012869,ANNOYING TELEPHONE CALL:OBSCENE/THREATENING,02X,1300 7TH ST,Oakland,CA,"1300 7TH ST
Oakland, CA
(37.804641, -122.291652)"
FELONY ASSAULT,03/07/2020 06:20:00 PM,20-013105,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,26Y,6800 HAWLEY ST,Oakland,CA,"6800 HAWLEY ST
Oakland, CA
(37.757289, -122.197485)"
FORGERY & COUNTERFEITING,02/07/2020 11:40:00 AM,20-906601,THEFT BY USE OF ACCESS CARD,14X,300 PERKINS ST,Oakland,CA,"300 PERKINS ST
Oakland, CA
(37.812554, -122.255506)"
STOLEN VEHICLE,05/06/2020 06:00:00 PM,20-023000,VEHICLE THEFT - AUTO,25X,3600 38TH AV,Oakland,CA,"3600 38TH AV
Oakland, CA
(37.790674, -122.197555)"
,02/05/2020 05:00:00 PM,20-014922,THEFT,09X,00 GLEN AV,Oakland,CA,"00 GLEN AV
Oakland, CA"
,03/08/2020 11:00:00 AM,20-013242,BURGLARY-FORCIBLE ENTRY,07X,2200 22ND ST,Oakland,CA,"2200 22ND ST
Oakland, CA"
WEAPONS,04/14/2020 04:32:00 AM,20-019127,CARRY LOADED FIREARM:UNLAWFUL/PROHIBATED POSSESSION,02X,7TH ST & MARKET ST,Oakland,CA,"7TH ST & MARKET ST
Oakland, CA
(37.802679, -122.282818)"
,05/29/2020 06:17:00 AM,20-026533,SC RAPE,04X,1600 MARTIN LUTHER KING JR W,Oakland,CA,"1600 MARTIN LUTHER KING JR W
Oakland, CA"
BURG - AUTO,01/17/2020 08:00:00 PM,20-003273,BURGLARY-AUTO,04X,2000 SAN PABLO AV,Oakland,CA,"2000 SAN PABLO AV
Oakland, CA
(37.810193, -122.273086)"
BURG - RESIDENTIAL,02/18/2020 02:00:00 PM,20-009707,BURGLARY-FORCIBLE ENTRY,17X,1600 12TH AV,Oakland,CA,"1600 12TH AV
Oakland, CA
(37.791916, -122.246177)"
BURG - AUTO,02/18/2020 10:00:00 PM,20-009719,BURGLARY-AUTO,18X,2200 E 17TH ST,Oakland,CA,"2200 E 17TH ST
Oakland, CA
(37.786991, -122.235379)"
BURG - AUTO,02/15/2020 09:30:00 PM,20-904989,BURGLARY-AUTO,01X,500 4TH ST,Oakland,CA,"500 4TH ST
Oakland, CA
(37.798009, -122.276953)"
BURG - AUTO,03/12/2020 12:56:00 PM,20-013994,BURGLARY-AUTO,99X,2100 ADAMS AV,Oakland,CA,"2100 ADAMS AV
Oakland, CA"
MISDEMEANOR ASSAULT,03/09/2020 06:30:00 PM,20-013499,BATTERY,03X,400 6TH ST,Oakland,CA,"400 6TH ST
Oakland, CA
(37.798368, -122.273402)"
BURG - AUTO,01/31/2020 11:26:00 AM,20-006259,BURGLARY-AUTO,77X,8400 OAKPORT ST,Oakland,CA,"8400 OAKPORT ST
Oakland, CA"
BURG - AUTO,02/18/2020 05:05:00 PM,20-904993,BURGLARY-AUTO,08X,40TH ST & SHAFTER AV,Oakland,CA,"40TH ST & SHAFTER AV
Oakland, CA
(37.82836, -122.259782)"
ROBBERY,02/19/2020 01:30:00 AM,20-009710,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",10Y,46TH ST & MARTIN LUTHER KING JR WY,Oakland,CA,"46TH ST & MARTIN LUTHER KING JR WY
Oakland, CA
(37.834279, -122.267284)"
